题号,类型,问题,标准答案要点,答案依据
A01,A故障码类,小松E02故障码是什么问题？,"E02为液压系统故障。可能原因：液压泵故障、液压阀堵塞、液压油不足。","01_故障码表_小松.md 第15行"
A02,A故障码类,小松E05是什么故障？,"E05为燃油系统故障。可能原因：燃油滤清器堵塞、油泵故障、喷油嘴问题。","01_故障码表_小松.md 第18行"
A03,A故障码类,小松E22发动机功率不足可能是什么原因？,"E22为发动机功率不足。可能原因：燃油系统故障、空气滤清器堵塞。","01_故障码表_小松.md 第35行"
A04,A故障码类,小松PC220-7报E-15液压泵控制系统故障该怎么排查？,"E-15含义是泵控制电磁阀或其电路信号异常（电压不规则、断路或短路），症状包括液压无力、动作迟缓、降档保护。排查：清洁检查泵控制电磁阀接头；万用表测线圈电阻正常约10-30Ω，开路则更换；点火ON测供电约12-24V并检查线束；最后用KOMTRAX清码做动作测试。","01_故障码表_小松.md 第52行起"
A05,A故障码类,卡特故障码的MID、CID、FMI三段分别代表什么？,"MID（Module Identifier）表示哪个控制器报的故障，如036为发动机ECM、039为机器控制器；CID（Component Identifier）表示哪个部件/电路出问题；FMI（Failure Mode Identifier）表示故障模式即怎么坏的。","02_故障码表_卡特彼勒.md 第12-20行"
A06,A故障码类,卡特故障码里FMI 03和FMI 04分别是什么意思？,"FMI 03=电压高于正常（对电源短路）；FMI 04=电压低于正常（对地短路）。两者都是电气类故障。","02_故障码表_卡特彼勒.md 第20行"
A07,A故障码类,卡特036-0164-03是什么故障？,"036为发动机ECM，0164为喷油促动压力传感器，FMI 03为电压过高。含义是喷油促动压力传感器电压过高，应查线路/传感器。","02_故障码表_卡特彼勒.md 第28行"
A08,A故障码类,卡特320老机型报警E1是什么故障？,"E1为发动机机油压力过低。同表中E2为水温过高、E3为液压油温度过高、E4为蓄电池电压过高。","02_故障码表_卡特彼勒.md 第41行"
A09,A故障码类,卡特挖机断开电瓶能不能清除故障码？,"不能。CAT的ECM是非易失存储，断电瓶清不掉故障码；故障物理修复后Active（当前）码才会消失，Logged为历史记录码。","02_故障码表_卡特彼勒.md 第67行"
A10,A故障码类,日立ZX200显示E03是什么问题？,"E03为水温过高，原因可能是冷却液不足、散热器堵塞或水泵故障。另注意E12冷却液温度过高时需立即停机检查。","03_故障码表_日立神钢住友.md 第20行"
A11,A故障码类,日立ZX系列故障码11200-3是什么意思？,"11200为泵1输油压力传感器，后缀-3表示信号高（高压异常），-4表示信号低（低压异常）。日立ZX五位数码后缀-3=信号高、-4=信号低。","03_故障码表_日立神钢住友.md 第35行"
A12,A故障码类,日立故障码157-3是什么故障？,"157-3为共轨压力传感器高压异常（信号超过4.5V）。属于电控系统传感器码，需检查共轨压力传感器及其线路。","03_故障码表_日立神钢住友.md 第43行"
A13,A故障码类,神钢SK200-3自诊断显示C-1是什么故障？,"C-1为P1油泵压力传感器异常（C-2为P2油泵压力传感器异常）。神钢SK200-2/-3自诊断码中B系列为执行机构压力传感器、C系列为油泵压力传感器、F系列为电磁阀异常。","03_故障码表_日立神钢住友.md 第64行"
A14,A故障码类,神钢SK200-8报P0335会有什么后果？,"P0335为主转速传感器故障，后果是发动机不能启动/停止。同类的P0340副转速传感器故障同样导致不能启动/停止。","03_故障码表_日立神钢住友.md 第92行"
A15,A故障码类,住友故障码7422是什么意思？,"7422为发动机机油压力过低（判定条件：启动30秒后油压≤40kPa）。住友7400段为机械/状态码，7421为冷却液液位过低、7423为空滤堵塞、7424为燃油滤堵塞。","03_故障码表_日立神钢住友.md 第137行"
A16,A故障码类,斗山DX225LC-9C报E520601-12是什么故障，怎么排查？,"含义是ECM电源电路检测到低电压（一般低于9V），症状有启动困难、运转中熄火、降转速至1500-1800、仪表读数波动。排查：电瓶负载测试（500A下应保持9.6V以上）、查充电电压13.8-14.4V、检查接地线和ECM电源继电器、查线束磨损点。","04_故障码表_斗山沃尔沃.md 第55行"
A17,A故障码类,沃尔沃故障码128-PID 100-01是什么故障？,"128为发动机E-ECU，PID 100为机油压力，FMI 01为数据有效但低于正常范围。含义是临界低油压，应立即停机。","04_故障码表_斗山沃尔沃.md 第70行"
A18,A故障码类,沃尔沃挖机仪表琥珀色警告灯和红色停车灯有什么区别？,"琥珀色警告=非关键故障；红色停车灯=关键故障，需立即停机。另外沃尔沃乌龟模式（Tortoise Mode）表示发动机降额保护。","04_故障码表_斗山沃尔沃.md 第78-82行"
A19,A故障码类,J1939标准里FMI 3和FMI 4分别代表什么？,"FMI 3=电压高于正常值或对电源(+Batt)短路；FMI 4=电压低于正常值或对地短路。J1939是CAT、三一、徐工等重机通用的诊断标准，格式为SPN+FMI。","06_通用标准_J1939_SPN_FMI.md 第21-22行"
A20,A故障码类,徐工挖机仪表报A101是什么报警？,"A101为液压油温高报警（阈值90℃以上）。徐工A系列为报警信息，另A301为发动机水温高（>105℃）、A501为电瓶充电异常。","05_故障码表_三一徐工.md 第18行"
B01,B故障咨询类,挖机冷车正常热车就没劲是咋回事？,"冷车快热车慢典型指向液压系统内泄或先导压力故障：冷车油粘度高能暂时填充磨损间隙，热车油变稀内泄加剧。常见原因：主泵柱塞/配流盘磨损、先导泵磨损、液压油变质超期未换。可拆回油滤芯看有无铜粉，有铜粉基本判定配流盘磨损需大修主泵。","08_常见故障问答.md 第26行（Q2）"
B02,B故障咨询类,挖机所有动作都慢、全车没劲，先查什么？,"所有动作均匀变慢先查三项：一是先导压力是否达标（典型3.5-4.1MPa），偏低先换先导滤芯再查先导溢流阀；二是主溢流阀是否卡滞导致系统压力上不去；三是吸油滤网是否堵塞导致主泵吸油不足。口诀：一压二阀三油四泵，不要一上来就拆主泵。","08_常见故障问答.md 第18-21行（Q1）"
B03,B故障咨询类,挖机干活憋车、发动机掉转速严重怎么排查？,"憋车说明发动机动力不足或液压功率匹配失衡。先查发动机（柴油滤芯堵塞、空气滤芯过脏）；发动机正常则查主泵调节器是否卡滞导致泵排量过大超出发动机功率，正流量系统常见极限功率比例电磁阀阀芯卡滞。处理：液压泵上试验台把功率降至发动机功率的95%。","08_常见故障问答.md 第30行（Q3）"
B04,B故障咨询类,刚保养换完液压油怎么还是无力？,"重点查液压滤芯和吸油滤网：换油时旧滤芯未同步更换会被脏油堵死；油箱底部吸油滤网长期未清洗也会吸油不足；还要确认新加液压油牌号是否正确。","08_常见故障问答.md 第34行（Q4）"
B05,B故障咨询类,挖机动作慢但仪表没有故障码，从哪里下手？,"无故障码不等于无故障，应进监控模式看实时数据：先导压力、主泵压力、发动机转速、比例电磁阀电流。先导压力低于35公斤先换先导滤芯；主泵压力低于标准查主溢流阀；发动机转速达不到目标值查燃油/进气系统。","08_常见故障问答.md 第38行（Q5）"
B06,B故障咨询类,动作慢还伴随液压油温很高是什么毛病？,"高度怀疑内泄：内泄既产生热量又导致流量不足。常见原因：主泵柱塞/配流盘磨损、主溢流阀卡在微开位、液压油太脏。可拆回油滤芯看有无金属粉末，有则必须拆检主泵。","08_常见故障问答.md 第42行（Q6）"
B07,B故障咨询类,发动机正常但操作手柄没反应、整机无动作怎么办？,"先查液压油位和先导锁是否打开，再测系统压力：P1、P2泵加先导泵均无压则查分动器或发动机连接器（连接器故障率更高）；单泵无压查工作回路安全阀和主泵；无先导压力查先导安全阀和先导泵；严重漏油同样导致压力低。","08_常见故障问答.md 第46-52行（Q7）"
B08,B故障咨询类,挖机行走跑偏而且一只手柄动作不理想是什么问题？,"大概率是双泵中有一只故障。简单判定方法：把液压泵两根高压油管对调，原来慢的变快、快的变慢即可证实。处理：拆泵更换故障泵内配件并上试验台调试。","08_常见故障问答.md 第54-56行（Q8）"
B09,B故障咨询类,冬天挖机启动困难是什么原因？,"冬季启动难是多因素叠加：柴油结蜡堵油路、压缩温度不足难压燃、电瓶亏电马达无力、机油过稠阻力大。分三种情况处理：排气不冒烟=柴油结蜡，首选加装燃油预热器；冒烟不爆燃=缸温低雾化差，可连续启动尝试；转速不够则换冬季机油、电压不足先充电或搭电，电压高于24V问题在马达换碳刷。","08_常见故障问答.md 第77-82行（Q13）"
B10,B故障咨询类,卡特挖机难启动，是不是电瓶问题？,"不一定。起动机转速正常却打不着就要查燃油系统和转速传感器。卡特324D案例：读码P0087轨压过低锁定油路；换燃油滤芯无效；拔SCV阀插头强制油泵全负荷能一把着火，锁定SCV阀/喷油器；喷油器回油量测试远超标准，判定喷油器磨损。卡特/小松电喷机8000-10000小时后喷油器磨损是老年病，核心原因还包括油路进空气和曲轴/转速传感器故障。","08_常见故障问答.md 第84-95行（Q14）"
C01,C工单场景类,机手报修：挖机全车没劲。生成一张维修工单需要哪些字段？,"工单字段应含：日期、机型/小时数（备注小时数）、故障现象描述、排查项目、零件名称、数量、单价、工时费、总金额。参考维修成本记录模板：日期|零件名称|数量|单价|工时费|总金额|备注（小时数）。全车没劲的排查项依据：先导压力（3.5-4.1MPa）、主溢流阀、吸油滤网。","09_保养维护周期.md 第86行；08_常见故障问答.md 第18-21行"
C02,C工单场景类,机手报修冷车正常热车无力，工单的故障现象和初步判断栏怎么写？,"故障现象：冷车动作正常，热车后动作变慢无力。初步判断：液压系统内泄或先导压力故障，嫌疑点为主泵柱塞/配流盘磨损、先导泵磨损、液压油变质。验证手段：测先导压力与主溢流压力、拆回油滤芯查铜粉。","08_常见故障问答.md 第26行（Q2）"
C03,C工单场景类,机手报修冬季清晨启动困难，工单的处理措施和备件建议怎么写？,"处理措施按三种情况：排气不冒烟为柴油结蜡堵油路，建议加装燃油预热器；冒烟不爆燃为缸温低雾化差；转速不够查电瓶和马达。备件/措施建议：燃油预热器、冬季机油、电瓶充电或搭电、马达碳刷。","08_常见故障问答.md 第77-82行（Q13）"
C04,C工单场景类,一台卡特324D报修难启动，工单的排查步骤和备件清单怎么写？,"排查步骤：读码（P0087轨压过低锁定油路）→换燃油滤芯→拔SCV阀插头强制油泵全负荷测试→喷油器回油量测试。备件清单：燃油滤芯、SCV阀（吸入控制阀）、喷油器。注意该机型8000-10000小时后喷油器磨损高发，副厂滤芯杂质多需用正品。","08_常见故障问答.md 第84-95行（Q14）"
C05,C工单场景类,徐工挖机报A301水温高报警，工单排查项和备件怎么列？,"A301为发动机水温高报警（>105℃）。排查分两类：发热过度（正时不良、窜机油、超负荷）与散热不足（缺水、水垢、节温器开度不够、水箱格栅堵塞、水泵不良、风扇皮带松弛）。备件/作业项：加注冷却液、节温器、清理水箱散热器、调整皮带张紧。","05_故障码表_三一徐工.md 第25行；08_常见故障问答.md 第66-71行（Q11）"
C06,C工单场景类,机手报修斗杆停放时自动缓慢下落，工单的备件怎么备？,"初步判断为液压缸内漏或外漏：密封件老化（O型圈、防尘圈磨损）、活塞环磨损或缸筒划伤导致保压失败。备件：同规格密封件套装；拆解后轻微划伤打磨处理，严重时需换活塞组件或缸筒。判定依据：泵压力正常但保持时压降快，属执行元件内泄。","08_常见故障问答.md 第58-60行（Q9）"
C07,C工单场景类,报修行走跑偏，工单的排查流程怎么写？,"流程：先做油管对调判定——把液压泵两根高压油管对调，若原来慢的变快、快的变慢则证实双泵之一故障。处理：拆泵更换故障泵内配件，上试验台调试。","08_常见故障问答.md 第54-56行（Q8）"
C08,C工单场景类,一台徐工150D使用6100小时报修整机无力，工单需要采集哪些检测数据？,"需采集：先导压力值（标准3.5-4.1MPa）、主溢流压力值（该机型标准约27MPa）、回油滤芯有无铜粉、液压油品质。案例中先导滤芯油泥清洗后压力略升、主溢流阀清洗后24MPa仍不达标、回油滤见铜粉，最终判定配流盘磨损，大修主泵解决。","08_常见故障问答.md 第26行（Q2，含徐工150D案例）"
C09,C工单场景类,挖机到500小时，保养工单的项目清单怎么开？,"500小时保养项目：更换液压油回油滤芯+先导滤芯；更换空气滤芯主滤芯（或按指示器）；更换燃油滤芯（部分机型）；液压油取样送检；检查行走/回转马达油封；更换液压油通气口滤芯（CAT）。","09_保养维护周期.md 第17行"
C10,C工单场景类,挖机2000小时大保养工单要包含哪些项目？,"2000小时项目：液压油更换（同步更换回油/先导滤芯并清洗油箱滤网、放出的油做油分析）；终传动箱油更换（CAT）；气门间隙检查；增压器清洗检查；机油散热器/曲轴箱呼吸器清洗检查；启动马达与发电机检查。","09_保养维护周期.md 第19行"
